key,layer,module_type,l2_norm,linf_norm,relative_l2,shape,dtype
model.layers.11.mlp.down_proj.weight,11,mlp_down,101.70584869,0.19140625,0.89135733,"[3584, 18944]",torch.float32
model.layers.16.mlp.down_proj.weight,16,mlp_down,101.67625427,0.19335938,0.88171595,"[3584, 18944]",torch.float32
model.layers.17.mlp.down_proj.weight,17,mlp_down,101.50642395,0.203125,0.87699778,"[3584, 18944]",torch.float32
model.layers.6.mlp.down_proj.weight,6,mlp_down,101.27611542,0.36138916,0.94642713,"[3584, 18944]",torch.float32
model.layers.24.mlp.down_proj.weight,24,mlp_down,101.26647186,0.21337891,0.84747942,"[3584, 18944]",torch.float32
model.layers.15.mlp.down_proj.weight,15,mlp_down,101.20815277,0.20117188,0.87488754,"[3584, 18944]",torch.float32
model.layers.13.mlp.down_proj.weight,13,mlp_down,100.97692108,0.23632812,0.89192467,"[3584, 18944]",torch.float32
model.layers.9.mlp.up_proj.weight,9,mlp_up,100.93561554,0.1875,0.97349113,"[18944, 3584]",torch.float32
model.layers.22.mlp.down_proj.weight,22,mlp_down,100.82840729,0.15429688,0.86188872,"[3584, 18944]",torch.float32
model.layers.14.mlp.down_proj.weight,14,mlp_down,100.21412659,0.29449463,0.8754793,"[3584, 18944]",torch.float32
model.layers.7.mlp.down_proj.weight,7,mlp_down,99.83707428,0.22119141,0.8889844,"[3584, 18944]",torch.float32
model.layers.23.mlp.down_proj.weight,23,mlp_down,99.80183411,0.19726562,0.85400027,"[3584, 18944]",torch.float32
model.layers.0.mlp.up_proj.weight,,mlp_up,99.59999847,0.16967773,1.05784371,"[18944, 3584]",torch.float32
model.layers.0.mlp.down_proj.weight,,mlp_down,98.32787323,0.22851562,0.99420381,"[3584, 18944]",torch.float32
model.layers.10.mlp.down_proj.weight,10,mlp_down,98.28098297,0.21386719,0.87876568,"[3584, 18944]",torch.float32
model.layers.9.mlp.down_proj.weight,9,mlp_down,93.59185791,0.3984375,0.91012947,"[3584, 18944]",torch.float32
model.layers.1.mlp.up_proj.weight,1,mlp_up,92.8729248,0.29943848,1.06158359,"[18944, 3584]",torch.float32
model.layers.2.mlp.down_proj.weight,2,mlp_down,91.86688232,0.34301758,0.94886279,"[3584, 18944]",torch.float32
model.layers.1.mlp.down_proj.weight,1,mlp_down,80.56588745,0.35351562,0.93085206,"[3584, 18944]",torch.float32
model.layers.0.self_attn.q_proj.weight,,attn_qkv,63.82852554,0.51171875,0.9609277,"[3584, 3584]",torch.float32
model.layers.3.self_attn.q_proj.weight,3,attn_qkv,57.67595673,0.1348877,0.94474747,"[3584, 3584]",torch.float32
model.layers.1.self_attn.k_proj.bias,1,attn_qkv,57.39478683,23.78125,0.47237799,[512],torch.float32
model.layers.6.self_attn.q_proj.weight,6,attn_qkv,56.04294586,0.11401367,0.97675759,"[3584, 3584]",torch.float32
model.layers.4.self_attn.q_proj.weight,4,attn_qkv,55.89214325,0.11254883,0.96966382,"[3584, 3584]",torch.float32
model.layers.2.self_attn.q_proj.weight,2,attn_qkv,55.58752823,0.11132812,0.95590342,"[3584, 3584]",torch.float32
model.layers.5.self_attn.q_proj.weight,5,attn_qkv,53.25353241,0.11108398,0.9421689,"[3584, 3584]",torch.float32
model.layers.10.self_attn.q_proj.weight,10,attn_qkv,52.42874527,0.11669922,0.91726277,"[3584, 3584]",torch.float32
model.layers.7.self_attn.q_proj.weight,7,attn_qkv,50.66218185,0.11633301,0.92605137,"[3584, 3584]",torch.float32
model.layers.23.self_attn.q_proj.weight,23,attn_qkv,50.35642242,0.09716797,0.92846996,"[3584, 3584]",torch.float32
model.layers.25.self_attn.q_proj.weight,25,attn_qkv,50.16335297,0.1081543,0.98934898,"[3584, 3584]",torch.float32
model.layers.27.self_attn.q_proj.weight,27,attn_qkv,50.13518524,0.42797852,0.96483033,"[3584, 3584]",torch.float32
model.layers.24.self_attn.q_proj.weight,24,attn_qkv,48.33638763,0.10241699,0.9252264,"[3584, 3584]",torch.float32
model.layers.1.self_attn.q_proj.weight,1,attn_qkv,48.33090591,0.63757324,0.96013905,"[3584, 3584]",torch.float32
model.layers.8.self_attn.q_proj.weight,8,attn_qkv,47.64112091,0.10205078,0.8425308,"[3584, 3584]",torch.float32
model.layers.9.self_attn.q_proj.weight,9,attn_qkv,47.34040833,0.09237671,0.8905571,"[3584, 3584]",torch.float32
model.layers.11.self_attn.q_proj.weight,11,attn_qkv,46.69157791,0.10003662,0.81232816,"[3584, 3584]",torch.float32
model.layers.12.self_attn.q_proj.weight,12,attn_qkv,45.83611298,0.14208984,0.819209,"[3584, 3584]",torch.float32
model.layers.26.self_attn.q_proj.weight,26,attn_qkv,44.19459534,0.10058594,0.92574383,"[3584, 3584]",torch.float32
model.layers.13.self_attn.q_proj.weight,13,attn_qkv,43.8995018,0.1114502,0.80066779,"[3584, 3584]",torch.float32
model.layers.25.self_attn.o_proj.weight,25,attn_o,43.87963104,0.14282227,0.74654782,"[3584, 3584]",torch.float32
model.layers.22.self_attn.q_proj.weight,22,attn_qkv,43.75562668,0.0892334,0.82086688,"[3584, 3584]",torch.float32
model.layers.21.self_attn.q_proj.weight,21,attn_qkv,43.56132889,0.0925293,0.82710232,"[3584, 3584]",torch.float32
model.layers.24.self_attn.o_proj.weight,24,attn_o,42.81703568,0.20605469,0.76920418,"[3584, 3584]",torch.float32
model.layers.15.self_attn.q_proj.weight,15,attn_qkv,42.58534622,0.11126709,0.75839127,"[3584, 3584]",torch.float32
model.layers.26.self_attn.o_proj.weight,26,attn_o,41.80224991,0.13085938,0.68725911,"[3584, 3584]",torch.float32
model.layers.18.self_attn.q_proj.weight,18,attn_qkv,41.39560699,0.11035156,0.78137392,"[3584, 3584]",torch.float32
model.layers.16.self_attn.q_proj.weight,16,attn_qkv,41.20362091,0.0847168,0.76131209,"[3584, 3584]",torch.float32
model.layers.1.self_attn.o_proj.weight,1,attn_o,41.07991409,0.13525391,0.91819855,"[3584, 3584]",torch.float32
model.layers.14.self_attn.q_proj.weight,14,attn_qkv,40.87201691,0.08691406,0.7551282,"[3584, 3584]",torch.float32
model.layers.5.self_attn.o_proj.weight,5,attn_o,40.44947815,0.23535156,0.87651909,"[3584, 3584]",torch.float32
model.layers.20.self_attn.q_proj.weight,20,attn_qkv,40.40013123,0.09533691,0.7530394,"[3584, 3584]",torch.float32
model.layers.27.self_attn.o_proj.weight,27,attn_o,40.39577484,0.51367188,0.69724765,"[3584, 3584]",torch.float32
model.layers.17.self_attn.q_proj.weight,17,attn_qkv,40.28089905,0.09472656,0.72603966,"[3584, 3584]",torch.float32
model.layers.23.self_attn.o_proj.weight,23,attn_o,40.0259285,0.20117188,0.71472068,"[3584, 3584]",torch.float32
model.layers.19.self_attn.q_proj.weight,19,attn_qkv,39.90489197,0.18225098,0.75749764,"[3584, 3584]",torch.float32
model.layers.2.self_attn.o_proj.weight,2,attn_o,39.32032394,0.11230469,0.89643695,"[3584, 3584]",torch.float32
model.layers.4.self_attn.o_proj.weight,4,attn_o,39.24914169,0.15270996,0.85306917,"[3584, 3584]",torch.float32
model.layers.22.self_attn.o_proj.weight,22,attn_o,38.02702713,0.14331055,0.69579559,"[3584, 3584]",torch.float32
model.layers.6.self_attn.o_proj.weight,6,attn_o,37.61617661,0.16210938,0.79283492,"[3584, 3584]",torch.float32
model.layers.7.self_attn.o_proj.weight,7,attn_o,36.08620071,0.15234375,0.69488884,"[3584, 3584]",torch.float32
model.layers.21.self_attn.o_proj.weight,21,attn_o,35.85155869,0.09375,0.65916684,"[3584, 3584]",torch.float32
model.layers.9.self_attn.o_proj.weight,9,attn_o,35.76439667,0.1640625,0.68350823,"[3584, 3584]",torch.float32
model.layers.3.self_attn.o_proj.weight,3,attn_o,35.56210709,0.14013672,0.77798249,"[3584, 3584]",torch.float32
model.norm.weight,,norm,35.14576721,2.96875,0.13502179,[3584],torch.float32
model.layers.10.self_attn.o_proj.weight,10,attn_o,34.97040939,0.38818359,0.7084515,"[3584, 3584]",torch.float32
model.layers.8.self_attn.o_proj.weight,8,attn_o,34.83677292,0.15625,0.73116056,"[3584, 3584]",torch.float32
model.layers.20.self_attn.o_proj.weight,20,attn_o,34.62075806,0.13183594,0.66210334,"[3584, 3584]",torch.float32
model.layers.11.self_attn.o_proj.weight,11,attn_o,32.17842865,0.22460938,0.67162706,"[3584, 3584]",torch.float32
model.layers.27.self_attn.k_proj.bias,27,attn_qkv,32.16404343,10.0,0.03609697,[512],torch.float32
model.layers.12.self_attn.o_proj.weight,12,attn_o,32.05096054,0.19921875,0.66257363,"[3584, 3584]",torch.float32
model.layers.0.self_attn.o_proj.weight,,attn_o,31.8922081,0.11230469,0.83460859,"[3584, 3584]",torch.float32
model.layers.18.self_attn.o_proj.weight,18,attn_o,31.17625999,0.12646484,0.59339563,"[3584, 3584]",torch.float32
model.layers.13.self_attn.o_proj.weight,13,attn_o,30.79021835,0.23046875,0.61750133,"[3584, 3584]",torch.float32
model.layers.17.self_attn.o_proj.weight,17,attn_o,30.77731895,0.3515625,0.62574859,"[3584, 3584]",torch.float32
model.layers.19.self_attn.o_proj.weight,19,attn_o,30.2959156,0.11914062,0.58933766,"[3584, 3584]",torch.float32
model.layers.15.self_attn.o_proj.weight,15,attn_o,30.16993523,0.09710693,0.62905039,"[3584, 3584]",torch.float32
model.layers.16.self_attn.o_proj.weight,16,attn_o,29.89880943,0.14648438,0.60452663,"[3584, 3584]",torch.float32
model.layers.14.self_attn.o_proj.weight,14,attn_o,29.3940239,0.3359375,0.62318128,"[3584, 3584]",torch.float32
model.layers.27.self_attn.v_proj.weight,27,attn_qkv,28.93890953,0.27661133,0.89424209,"[512, 3584]",torch.float32
model.layers.0.self_attn.k_proj.bias,,attn_qkv,28.76074219,7.5,0.04957847,[512],torch.float32
model.layers.26.self_attn.v_proj.weight,26,attn_qkv,23.12898064,0.09326172,0.6878899,"[512, 3584]",torch.float32
model.layers.0.self_attn.k_proj.weight,,attn_qkv,22.58156967,0.17285156,0.69731782,"[512, 3584]",torch.float32
model.layers.3.self_attn.k_proj.weight,3,attn_qkv,22.20975494,0.1081543,0.72923807,"[512, 3584]",torch.float32
model.layers.2.self_attn.k_proj.weight,2,attn_qkv,21.61397171,0.14331055,0.73865348,"[512, 3584]",torch.float32
model.layers.4.self_attn.k_proj.weight,4,attn_qkv,20.55521011,0.10559082,0.76017867,"[512, 3584]",torch.float32
model.layers.1.self_attn.k_proj.weight,1,attn_qkv,20.55016899,0.176651,0.76581632,"[512, 3584]",torch.float32
model.layers.6.self_attn.k_proj.weight,6,attn_qkv,19.7273407,0.09521484,0.75089815,"[512, 3584]",torch.float32
model.layers.25.self_attn.v_proj.weight,25,attn_qkv,17.97826767,0.08105469,0.63617636,"[512, 3584]",torch.float32
model.layers.5.self_attn.k_proj.weight,5,attn_qkv,17.79056358,0.08862305,0.71184461,"[512, 3584]",torch.float32
model.layers.10.self_attn.k_proj.weight,10,attn_qkv,17.72835159,0.09936523,0.68941066,"[512, 3584]",torch.float32
model.layers.24.self_attn.v_proj.weight,24,attn_qkv,16.00270271,0.06164551,0.61759955,"[512, 3584]",torch.float32
model.layers.8.self_attn.k_proj.weight,8,attn_qkv,15.89726639,0.08520508,0.61486296,"[512, 3584]",torch.float32
model.layers.7.self_attn.k_proj.weight,7,attn_qkv,15.68937111,0.08789062,0.69745225,"[512, 3584]",torch.float32
model.layers.11.self_attn.k_proj.weight,11,attn_qkv,15.64441204,0.08154297,0.58736803,"[512, 3584]",torch.float32
model.layers.27.self_attn.k_proj.weight,27,attn_qkv,15.37163734,0.09741211,0.89387833,"[512, 3584]",torch.float32
model.layers.12.self_attn.k_proj.weight,12,attn_qkv,14.91525555,0.08081055,0.58293909,"[512, 3584]",torch.float32
model.layers.9.self_attn.k_proj.weight,9,attn_qkv,14.50172234,0.07342529,0.6506273,"[512, 3584]",torch.float32
model.layers.0.self_attn.q_proj.bias,,attn_qkv,14.46103287,3.75,0.08477552,[3584],torch.float32
model.layers.23.self_attn.v_proj.weight,23,attn_qkv,14.40657806,0.06161499,0.62608807,"[512, 3584]",torch.float32
model.layers.23.self_attn.k_proj.weight,23,attn_qkv,14.34791851,0.078125,0.70458569,"[512, 3584]",torch.float32
model.layers.13.self_attn.k_proj.weight,13,attn_qkv,14.03712654,0.10717773,0.57176165,"[512, 3584]",torch.float32
model.layers.1.self_attn.v_proj.weight,1,attn_qkv,13.86348724,0.0682373,0.90954373,"[512, 3584]",torch.float32
model.layers.4.self_attn.v_proj.weight,4,attn_qkv,13.7685442,0.0703125,0.78272352,"[512, 3584]",torch.float32
model.layers.15.self_attn.k_proj.weight,15,attn_qkv,13.70219898,0.11035156,0.53826069,"[512, 3584]",torch.float32
model.layers.25.self_attn.k_proj.weight,25,attn_qkv,13.59749889,0.10437012,0.76854299,"[512, 3584]",torch.float32
model.layers.5.self_attn.v_proj.weight,5,attn_qkv,13.44156075,0.13378906,0.79516426,"[512, 3584]",torch.float32
model.layers.14.self_attn.k_proj.weight,14,attn_qkv,12.95644093,0.06642151,0.52809118,"[512, 3584]",torch.float32
model.layers.16.self_attn.k_proj.weight,16,attn_qkv,12.71395969,0.10107422,0.54392239,"[512, 3584]",torch.float32
model.layers.18.self_attn.k_proj.weight,18,attn_qkv,12.50404453,0.06347656,0.55155301,"[512, 3584]",torch.float32
model.layers.22.self_attn.v_proj.weight,22,attn_qkv,12.46916771,0.05371094,0.54090892,"[512, 3584]",torch.float32
model.layers.24.self_attn.k_proj.weight,24,attn_qkv,12.32192993,0.06652832,0.63330142,"[512, 3584]",torch.float32
model.layers.6.self_attn.v_proj.weight,6,attn_qkv,12.21163082,0.05892944,0.70368295,"[512, 3584]",torch.float32
model.layers.17.self_attn.k_proj.weight,17,attn_qkv,12.12447643,0.07299805,0.51298552,"[512, 3584]",torch.float32
model.layers.22.self_attn.k_proj.weight,22,attn_qkv,11.85905743,0.06567383,0.61287286,"[512, 3584]",torch.float32
model.layers.20.self_attn.k_proj.weight,20,attn_qkv,11.74197006,0.07373047,0.52712507,"[512, 3584]",torch.float32
model.layers.21.self_attn.k_proj.weight,21,attn_qkv,11.7185173,0.05749512,0.58063184,"[512, 3584]",torch.float32
model.layers.26.self_attn.k_proj.weight,26,attn_qkv,11.58737469,0.06835938,0.68095193,"[512, 3584]",torch.float32
model.layers.19.self_attn.k_proj.weight,19,attn_qkv,11.48599434,0.08691406,0.53654518,"[512, 3584]",torch.float32
model.layers.7.self_attn.v_proj.weight,7,attn_qkv,11.20727444,0.05447388,0.53231342,"[512, 3584]",torch.float32
model.layers.21.self_attn.v_proj.weight,21,attn_qkv,11.02975178,0.05175781,0.46829875,"[512, 3584]",torch.float32
model.layers.8.self_attn.v_proj.weight,8,attn_qkv,10.91981506,0.04907227,0.62595263,"[512, 3584]",torch.float32
model.layers.10.self_attn.v_proj.weight,10,attn_qkv,10.88619804,0.04882812,0.56657358,"[512, 3584]",torch.float32
model.layers.20.self_attn.v_proj.weight,20,attn_qkv,10.88301754,0.0592041,0.49727584,"[512, 3584]",torch.float32
model.layers.2.self_attn.v_proj.weight,2,attn_qkv,10.80867386,0.05303955,0.86551226,"[512, 3584]",torch.float32
model.layers.9.self_attn.v_proj.weight,9,attn_qkv,10.51598263,0.05187988,0.49188244,"[512, 3584]",torch.float32
model.layers.3.self_attn.v_proj.weight,3,attn_qkv,10.50972939,0.0512085,0.72237285,"[512, 3584]",torch.float32
model.layers.27.input_layernorm.weight,27,norm,10.13874054,1.8125,0.12297007,[3584],torch.float32
model.layers.12.self_attn.v_proj.weight,12,attn_qkv,10.0223856,0.04727173,0.56128199,"[512, 3584]",torch.float32
model.layers.11.self_attn.v_proj.weight,11,attn_qkv,9.97091198,0.04794312,0.58695301,"[512, 3584]",torch.float32
model.layers.5.post_attention_layernorm.weight,5,norm,9.92136955,0.6875,0.11646923,[3584],torch.float32
model.layers.15.self_attn.v_proj.weight,15,attn_qkv,9.63555813,0.05444336,0.53726812,"[512, 3584]",torch.float32
model.layers.18.self_attn.v_proj.weight,18,attn_qkv,9.62848949,0.04785156,0.44738438,"[512, 3584]",torch.float32
model.layers.16.self_attn.v_proj.weight,16,attn_qkv,9.56556511,0.06303406,0.49680615,"[512, 3584]",torch.float32
model.layers.13.self_attn.v_proj.weight,13,attn_qkv,9.56236553,0.04421997,0.49339379,"[512, 3584]",torch.float32
model.layers.17.self_attn.v_proj.weight,17,attn_qkv,9.48344707,0.04614258,0.49586538,"[512, 3584]",torch.float32
model.layers.19.self_attn.v_proj.weight,19,attn_qkv,9.42014027,0.04516602,0.43564843,"[512, 3584]",torch.float32
model.layers.3.post_attention_layernorm.weight,3,norm,9.04253578,1.1875,0.12090998,[3584],torch.float32
model.layers.14.self_attn.v_proj.weight,14,attn_qkv,8.89917278,0.0411377,0.52068684,"[512, 3584]",torch.float32
model.layers.4.post_attention_layernorm.weight,4,norm,8.58944798,0.625,0.11835128,[3584],torch.float32
model.layers.0.self_attn.v_proj.weight,,attn_qkv,7.5249939,0.10107422,0.73488228,"[512, 3584]",torch.float32
model.layers.27.post_attention_layernorm.weight,27,norm,7.49860334,1.203125,0.05769123,[3584],torch.float32
model.layers.9.post_attention_layernorm.weight,9,norm,6.42969036,0.625,0.08964832,[3584],torch.float32
model.layers.26.input_layernorm.weight,26,norm,6.06643629,0.875,0.0848676,[3584],torch.float32
model.layers.26.post_attention_layernorm.weight,26,norm,5.83893394,0.71875,0.05748629,[3584],torch.float32
model.layers.2.post_attention_layernorm.weight,2,norm,5.82444906,0.578125,0.10993366,[3584],torch.float32
model.layers.1.post_attention_layernorm.weight,1,norm,5.62791538,0.65625,0.11007295,[3584],torch.float32
model.layers.25.post_attention_layernorm.weight,25,norm,5.1983943,1.203125,0.0511918,[3584],torch.float32
model.layers.6.post_attention_layernorm.weight,6,norm,5.0814271,0.21875,0.10657152,[3584],torch.float32
model.layers.1.self_attn.q_proj.bias,1,attn_qkv,4.97589445,1.203125,0.08668266,[3584],torch.float32
model.layers.24.post_attention_layernorm.weight,24,norm,4.59751558,0.9375,0.04966851,[3584],torch.float32
model.layers.18.input_layernorm.weight,18,norm,4.52891731,0.390625,0.07260228,[3584],torch.float32
model.layers.23.post_attention_layernorm.weight,23,norm,4.41558123,0.3359375,0.04943407,[3584],torch.float32
model.layers.16.input_layernorm.weight,16,norm,4.36432028,0.390625,0.06822339,[3584],torch.float32
model.layers.27.self_attn.q_proj.bias,27,attn_qkv,4.25935888,0.75,0.0238558,[3584],torch.float32
model.layers.21.post_attention_layernorm.weight,21,norm,4.2397275,0.375,0.06000496,[3584],torch.float32
model.layers.7.post_attention_layernorm.weight,7,norm,4.13473415,0.1484375,0.09453544,[3584],torch.float32
model.layers.22.post_attention_layernorm.weight,22,norm,4.0826335,0.34375,0.05277966,[3584],torch.float32
model.layers.17.input_layernorm.weight,17,norm,4.07778168,0.375,0.06181071,[3584],torch.float32
model.layers.2.self_attn.q_proj.bias,2,attn_qkv,3.92806649,0.5390625,0.06763922,[3584],torch.float32
model.layers.18.self_attn.q_proj.bias,18,attn_qkv,3.84116864,0.875,0.02573017,[3584],torch.float32
model.layers.20.post_attention_layernorm.weight,20,norm,3.81461048,0.46875,0.05936183,[3584],torch.float32
model.layers.14.input_layernorm.weight,14,norm,3.78818345,0.46875,0.06215005,[3584],torch.float32
model.layers.6.self_attn.q_proj.bias,6,attn_qkv,3.69867849,0.671875,0.03377506,[3584],torch.float32
model.layers.5.input_layernorm.weight,5,norm,3.66525078,0.28125,0.09082035,[3584],torch.float32
